;date;lhs_belligerents;lhs_leaders;loc;outcome;rhs_leaders;lhs_casualties;lhs_strengths;rhs_casualties;rhs_strengths;rhs_belligerents
Battle of Blaauwberg;8–18 January 1806;United Kingdom of Great Britain and Ireland;Sir David Baird, 1st Baronet;Bloubergstrand, Cape Town, Cape Colony;British victory Dutch Cape Colony controlled by the United Kingdom for the duration of the Napoleonic War;Jan Willem Janssens;212 killed or wounded;5,399;353 killed or wounded;2,049;Batavian Republic
Battle of Jena–Auerstedt;14 October 1806;First French Empire;Napoleon	Louis-Nicolas Davout;Jena and Auerstedt, Germany50°57′00″N 11°34′30″E﻿ / ﻿50.95000°N 11.57500°ECoordinates: 50°57′00″N 11°34′30″E﻿ / ﻿50.95000°N 11.57500°E;Decisive French victory;Frederick Louis, Prince of Hohenlohe-Ingelfingen	Charles William Ferdinand, Duke of Brunswick	Frederick William III of Prussia;5,000 killed or wounded (Jena)	7,052 killed or wounded (Auerstedt)	Total:	12,052 casualties;40,000 engaged[1] (Jena)	26,000 (Auerstedt)[1]	Total:	66,000;26,000 killed or wounded (Jena)[1]	15,000 killed or wounded (Auerstedt)[1]	Total:	41,000 casualties;53,000 (Jena)	64,000 (Auerstedt)[1]	Total:	117,000;Kingdom of Prussia	Electorate of Saxony
Battle of Mišar;12–15 August 1806;Revolutionary Serbia;Karađorđe	Jakov Nenadović;Mišar, Serbia;Serbian victory;Sulejman-paša Skopljak	Mehmed-beg Kulenović	Sinan-paša Sijerčić;around 500;7,000 infantry	2,000 cavalry	5 cannons;Over 3,000 killed;40,000 + several French artillery officers;Ottoman Empire
Battle of Pułtusk;26 December 1806;First French Empire	Kingdom of Bavaria;Jean Lannes;Pułtusk, New East Prussia;Tactical French victory;Levin August von Bennigsen;unclear, see below;25,000-27,000 soldiers[1];unclear, see below;40,000-45,000 soldiers, 128 guns,[1] of which 35,000 engaged[2][3];Russian Empire	Kingdom of Prussia
Battle of Eylau;7–8 February 1807;First French Empire;Napoleon	Michel Ney	Louis-Nicolas Davout	Joachim Murat;Preussisch Eylau, East Prussia[a];Inconclusive [1][2][3][4][5][6][7][8];Levin August von Bennigsen	Anton Wilhelm von L'Estocq;15,000–29,643[10];75,000:[9]	Napoleon: 45,000	Ney: 14,500	Davout: 15,000	300 guns;15,000[11][12]–23,000[13][14];76,000:[9]	Bennigsen: 67,000	L'Estocq: 9,000	400 guns;Russian Empire	Kingdom of Prussia
Battle of Friedland;14 June 1807;First French Empire;Napoleon	Jean Lannes;Friedland, Prussia;Decisive French victory Treaty of Tilsit End of Russian hostilities toward the French Empire Russia integrates the Continental System Effective end of the Fourth Coalition;Levin August von Bennigsen;8,000[9]–10,000[10];60,000	118 cannons[1][2][3][4][5][6][7];30,000[9]-40,000[11] killed, wounded and captured,	80 guns[9];84,000	120 cannons[1][8][4][5];Russian Empire
Battle of Copenhagen (1807);16 August – 5 September 1807;United Kingdom of Great Britain and Ireland;James Gambier, 1st Baron Gambier	William Cathcart, 1st Earl Cathcart;Copenhagen55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°ECoordinates: 55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E;Decisive British victory Danish navy surrendered to the United Kingdom.;Denmark	Ernst Peymann;42 killed	145 wounded	24 missing[1];25,000;3,000	fleet surrendered[1];10,000;Denmark	Denmark–Norway
Battle of Zealand Point;22 March 1808;United Kingdom of Great Britain and Ireland;George Parker (Royal Navy officer);Sejerø;British victory;Carl Wilhelm Jessen;5 dead, 48 wounded and 1 missing;3 ships of the line,	1 frigate;55 dead and 88 wounded;1 ship of the line;Denmark–Norway
Battle of Siikajoki;18 April 1808;Sweden;Wikimedia Error	Wikimedia Error;Siikajoki, near Oulu64°49′N 024°45′E﻿ / ﻿64.817°N 24.750°ECoordinates: 64°49′N 024°45′E﻿ / ﻿64.817°N 24.750°E;Swedish victory;Wikimedia Error;200;2,000;up to 340[3];2,000[1][2];Wikimedia Error
Battle of El Bruc;6 June and 14 June 1808;First French Empire;François Xavier de Schwarz	Joseph Chabran;El Bruc, near Barcelona, Catalonia;1st: Spanish victory2nd: Spanish victory;Wikimedia Error;6 June:	360 dead	800 wounded	60 captured	1 gun captured	Total: 1,220	14 June:	83 dead	274 wounded	Total: 357	Grand total: 1,577;3,800–5,000 regulars;6 June:	20 dead	80 wounded	Total: 100	14 June:	15 dead	50 wounded	Total: 65	Grand total: 165;2,000 regulars and militia;Spain
Battle of Medina de Rioseco;14 July 1808;First French Empire;Jean-Baptiste Bessières;Medina de Rioseco, north of Valladolid, Spain;French victory;Joaquín Blake	Gregorio García de la Cuesta;400–500 dead or wounded[1][3];12,550–800 infantry,[1][2]	950–1,200 cavalry,[1][2]	32 guns[2];1,000 dead or wounded,	1,200 missing or captured,[4]	13 guns captured[1];21,300–22,000 regulars and militia,[1][2]	600 cavalry,	20 guns[2];Spain
Battle of Bailén;16–19 July 1808;First French Empire;Pierre Dupont de l'Étang	Wikimedia Error	Wikimedia Error;Bailén, Spain;Decisive Spanish victory;Francisco Javier Castaños, 1st Duke of Bailén	Wikimedia Error;2,600 killed and wounded[4][5]	17,635 captured[6];24,430[1][2][1];978 killed and wounded[4][4];29,770[3][3][3];Enlightenment in Spain
Battle of Oravais;14 September 1808;Sweden;Carl Johan Adlercreutz;The village of Oravais, Finland;Decisive Russian victory;Nikolay Kamensky;740 dead	400 wounded	more than 100 captured	In total: 1,240;5,500 men;121 dead	665 wounded	109 missed in action	In total: 895[2][3];6,000, of which 5,000 engaged[1];Russia
Battle of Koljonvirta;27 October 1808;Sweden;Johan August Sandels;near Iisalmi, Northern Savonia, Finland;Swedish victory;Wikimedia Error;310 dead, wounded or captured;1,800;1,100 dead, wounded or captured;6,000–8,000;Wikimedia Error
Battle of Pancorbo (1808);31 October 1808;First French Empire;François Joseph Lefebvre;Durango, Spain;Indecisive;Joaquín Blake;200 killed or wounded[1];24,000	36 guns;300 killed or wounded	300 captured[2];19,000	6 guns;Wikimedia Error
Battle of Somosierra;30 November 1808;First French Empire	Kingdom of Spain under Joseph Bonaparte	Duchy of Warsaw;Napoleon	Wikimedia Error;Somosierra Pass, Community of Madrid, Spain;Franco-Polish victory;Wikimedia Error;57 killed or wounded[a];45,000;250 killed or wounded	3,000 captured;20,000;Guerrilla warfare
Battle of Sahagún;21 December 1808;First French Empire;César Alexandre Debelle;Leon Spain;British victory;Henry Paget, 1st Marquess of Anglesey;20 killed & wounded	13 officers and over 300 other ranks captured[1];800 dragoons & chasseurs[1];4 killed	21 wounded[1];400 hussars[2];United Kingdom of Great Britain and Ireland
Battle of Corunna;16 January 1809;United Kingdom of Great Britain and Ireland;Wikimedia Error	Wikimedia Error;Corunna, Galicia;British tactical victory[1][2][3][a] French strategic victory[4][5][6];Wikimedia Error;900 dead or wounded[10]	300 sick abandoned[11];16,000:	15,000 infantry[7]	9 to 12 guns[8];600[12] to 700 dead or wounded	200 to 300 prisoners;16,000:[9]	12,000 infantry	3,200 cavalry	20 guns;First French Empire
Battle of Raszyn (1809);19 April 1809;Austrian Empire;Archduke Ferdinand Karl Joseph of Austria-Este;Raszyn, present-day Poland52°09′32″N 20°55′35″E﻿ / ﻿52.158889°N 20.926389°E;Austrian tactical victoryPolish strategic victory;Józef Poniatowski;2,300 total:	800 killed	1,500 wounded;24,500 infantry	4,500 cavalry	94 cannons;1,390 total:	450 killed	900 wounded	40 captured;18,000 infantry	3,500 cavalry	44 cannons;Duchy of Warsaw	Kingdom of Saxony
Battle of Abensberg;20 April 1809;Austrian Empire;Archduke Charles, Duke of Teschen	Johann von Hiller	Archduke Louis of Austria	Wikimedia Error;Abensberg, Bavaria, Germany;French victory;Napoleon	Jean Lannes	François Joseph Lefebvre	Karl Philipp von Wrede	Dominique Vandamme;6,711, 12 guns[2];42,000[1];1,107[2];55,000[1];First French Empire	Kingdom of Bavaria	Kingdom of Württemberg
Battle of Landshut (1809);21 April 1809;Austrian Empire;Johann von Hiller;Landshut, Bavaria;French victory;Napoleon	Jean Lannes	André Masséna;9,000[1]-10,000;36,000;3,000;77,000;First French Empire	Kingdom of Bavaria	Kingdom of Württemberg
Battle of Eckmühl;21–22 April 1809;Austrian Empire;Archduke Charles, Duke of Teschen;Eckmühl, Bavaria;French victory;Napoleon	Louis-Nicolas Davout	François Joseph Lefebvre;12,000 killed, wounded or captured[1];35,000;6,000 killed or wounded[1];30,000 – 60,000;First French Empire	Kingdom of Bavaria	Kingdom of Württemberg
Battle of Ratisbon;23 April 1809;Austrian Empire;Archduke Charles, Duke of Teschen;Regensburg, Principality of Regensburg;French victory;Napoleon	Jean Lannes	Louis-Nicolas Davout;6,000+[1];26,000;1,500-2,000[1];37,000;First French Empire
Battle of Aspern-Essling;21–22 May 1809;First French Empire;Napoleon	Jean Lannes;Lobau, Vienna48°12′47″N 16°30′09″E﻿ / ﻿48.21306°N 16.50250°ECoordinates: 48°12′47″N 16°30′09″E﻿ / ﻿48.21306°N 16.50250°E;Austrian victory;Wikimedia Error;23,000 total:[2]	7,000 killed	16,000 wounded;27,000 (First day)	66,000 (Second day)[1];23,300 total:[2]	6,200 killed or missing	16,300 wounded	800 captured;95,800 (First day)	90,800 (Second day)[1];Austrian Empire
Battle of Wagram;5–6 July 1809;First French Empire	Kingdom of Saxony	Bavaria	Wikimedia Error;Napoleon;Wagram, northeast of Vienna48°17′58″N 16°33′52″E﻿ / ﻿48.29944°N 16.56444°ECoordinates: 48°17′58″N 16°33′52″E﻿ / ﻿48.29944°N 16.56444°E;Decisive French victory: Armistice of Znaim Treaty of Schönbrunn End of the Fifth Coalition;Wikimedia Error;25,000–40,000 dead, wounded, missing.;154,000–171,939[1][2][3][4]	584–617 guns;30,000–41,250 dead, wounded or missing.;135,766–173,000 (incl. allies)[5][6][1][2]	388–414 guns;Austrian Empire
Battle of Talavera;27–28 July 1809;United Kingdom of Great Britain and Ireland	Wikimedia Error;Arthur Wellesley, 1st Duke of Wellington	Gregorio García de la Cuesta;Talavera, southwest of Madrid, Spain;Tactical Anglo-Spanish victory[1][2][3][4][5]Strategic French victory[6][7][8][9];Joseph Bonaparte	Jean-Baptiste Jourdan;British - 6,268[6]	Spanish - 1,200[6];55,634:	20,641 British,[10]	30 cannon	34,993 Spanish,[10]	30 cannon;French - 7,389[6];46,138,[11]	80 cannon;First French Empire	Kingdom of Holland
Battle of Ratan and Sävar;19–20 August 1809;Sweden;Wikimedia Error;The village of Sävar and the village of Ratan, slightly north of Umeå, Sweden;Sävar: Russian victory Ratan: Swedish victory;Nikolay Kamensky;Total: 1 000.	Sävar: 850 (396 dead, 450 wounded).	Ratan: 150 (26 dead, 2 prisoners)[2];6,800 troops;Total: 1 750.	Sävar: 1 600 (600 dead, 1000 wounded).	Ratan: 150 (dead and wounded)[2];6,000 troops[1];Wikimedia Error
Battle of Tamames;18 October 1809;First French Empire;Jean Gabriel Marchand;Tamames, near Salamanca, Spain;Spanish victory;Vicente Cañas y Portocarrero;1,400 killed or wounded[1];9,000 infantry	2,000 cavalry	14 guns;713 killed or wounded	1 gun lost[1];20,000 infantry	1,400 cavalry	30 guns;Spain
Battle of Ocaña;19 November 1809;First French Empire;Joseph Bonaparte	Jean-de-Dieu Soult;Ocaña, near Madrid, Spain;Decisive French victory;Wikimedia Error;1,700-2,000 killed or wounded[2];24,000 infantry	5,000 cavalry[1]	50 guns;4,000-5,000 killed or wounded[3]	14,000-26,000 captured[4]	45 guns captured[5];45,000 infantry	7,000 cavalry[1]	60 guns;Wikimedia Error
Battle of Buçaco;27 September 1810;Kingdom of Portugal	United Kingdom of Great Britain and Ireland;Arthur Wellesley, 1st Duke of Wellington	Luís do Rego Barreto;Bussaco, near Luso, Portugal;Tactical Anglo-Portuguese victory[1]Strategic French victory;André Masséna;1,250 dead or wounded[2];25,000 Portuguese	25,000 British;4,500 dead or wounded[2];65,000;First French Empire
Battle of Paraguarí;January 19, 1811;United Provinces of the Rio de la Plata;Manuel Belgrano;Paraguarí, Paraguay;Belgrano forced to withdraw southward.;Bernardo de Velasco;120 prisoners, 10 deaths;1,000 soldiers[1]:11;16 prisoners, 30 deaths;4,600 soldiers[1]:11;Paraguay
Battle of Barrosa;5 March 1811;United Kingdom of Great Britain and Ireland	Spain	Kingdom of Portugal;Thomas Graham, 1st Baron Lynedoch	Manuel Lapeña;Playa de la Barrosa, Bourbon Spain;Tactical Allied victory Strategically indecisive;Claude Victor-Perrin, Duc de Belluno;1,540-1,640 killed or wounded;15,200;c. 2,380 killed or wounded;10,160;First French Empire
Battle of Lissa (1811);13 March 1811;United Kingdom;William Hoste;Off Vis (Lissa), Adriatic Sea43°05′21″N 16°10′18″E﻿ / ﻿43.08917°N 16.17167°E;British victory[1];Bernard Dubourdieu;45 killed	145 wounded[2];3 frigates	1 post ship;700 killed, wounded and captured	2 frigates captured[2]	1 frigate destroyed;6 frigates	1 brig	2 schooners	1 xebec	2 gunboats;First French Empire	Wikimedia Error
Battle of Fuentes de Oñoro;3–5 May 1811;United Kingdom of Great Britain and Ireland	Kingdom of Portugal;Arthur Wellesley, 1st Duke of Wellington;Fuentes de Oñoro, Castile and León, Spain40°35′N 6°49′W﻿ / ﻿40.583°N 6.817°WCoordinates: 40°35′N 6°49′W﻿ / ﻿40.583°N 6.817°W;Indecisive[1][2][3]Strategic Anglo-Portuguese victory[4][5][6][7][8];André Masséna;1,800	241 killed,	1,247 wounded,	312 captured[10];36,000 infantry,	1,850 cavalry,	48 guns[9];2,844	343 killed,	2,287 wounded,	214 captured[10];42,000 infantry,	4,500 cavalry,	38 guns;First French Empire
Battle of Albuera;16 May 1811;United Kingdom of Great Britain and Ireland	History of Spain (1810–73)	Kingdom of Portugal;Wikimedia Error	Joaquín Blake;Albuera, Badajoz, Spain;Indecisive[1][2][3][4];Jean-de-Dieu Soult	Wikimedia Error;5,916 to 7,000[9] killed or wounded	1,000 captured[10][5];35,284[5][6][7];5,935–7,900 killed or wounded[11];24,260[8];First French Empire
Battle of Huaqui;June 20, 1811;United Provinces of the Rio de la Plata	Republiquetas;Juan José Castelli	Wikimedia Error;Guaqui, near the Desaguadero River16°38′34.21″S 68°54′05.29″W﻿ / ﻿16.6428361°S 68.9014694°WCoordinates: 16°38′34.21″S 68°54′05.29″W﻿ / ﻿16.6428361°S 68.9014694°W;Royalist victory;José Manuel de Goyeneche, 1st Count of Guaqui;;5,000 soldiers and 13,000 native auxiliaries;;8,000 soldiers (including 4,700 royalist militias from Viceroyalty of Peru);Spanish Empire	Viceroyalty of Peru
Battle of Al-Safra;1812;Ottoman Empire;Tusun Pasha;near Medina, western Arabia;Saudi victory, Ottomans moved back to Yanbu.;Wikimedia Error;5,000 dead [1];10.000;600 dead;10.000;Emirate of Diriyah
Siege of Ciudad Rodrigo (1812);7 to 20 January 1812;United Kingdom of Great Britain and Ireland	Kingdom of Portugal;Arthur Wellesley, 1st Duke of Wellington	Luís do Rego Barreto;Ciudad Rodrigo, Spain;Allied victory;Jean Léonard Barrié;318 dead,	1,378 wounded;10,700,	36 heavy cannon;529 dead or wounded,	1,471 captured;2,000,	153 cannon;First French Empire
Siege of Badajoz (1812);16 March – 6 April 1812;United Kingdom of Great Britain and Ireland	Kingdom of Portugal;Arthur Wellesley, 1st Duke of Wellington;Badajoz, Spain38°52′44″N 6°58′1″W﻿ / ﻿38.87889°N 6.96694°W;Anglo-Portuguese victory;Armand Philippon;4,800 dead or wounded;27,000 regulars and 52 cannons;1,500 dead or wounded	3,500 captured[1];4,742 regulars;First French Empire
Battle of Salamanca;22 July 1812;United Kingdom of Great Britain and Ireland	Kingdom of Portugal	Spanish Empire;Arthur Wellesley, 1st Duke of Wellington	Miguel Ricardo de Álava;Arapiles, Salamanca, Spain;Allied victory[1];Auguste de Marmont	Bertrand Clauzel;5,173	3,129 British	2,038 Portuguese	6 Spanish;51,949[2];13,000	6,000 dead or wounded	7,000 captured[4];49,647[3];First French Empire
Battle of Klyastitsy;29 July – 1 August 1812;Russian Empire;Peter Wittgenstein	Yakov Kulnev;Klyastitsy, Belarus53°53′N 28°36′E﻿ / ﻿53.883°N 28.600°E;Inconclusive;Nicolas Oudinot;4,300;17,000–22,000;5,000 killed or wounded	1,000 captured;23,000–28,000;First French Empire
Battle of Maguaga;9 August 1812;United Kingdom of Great Britain and Ireland	Upper Canada	Native Americans in the United States;Adam Muir (British Army officer);Monguagon, Michigan;Inconclusive;James Miller (general);6 killed,	21 wounded,	2 captured[1];75 regulars,	70 natives,	60 militia;18 killed,	64 wounded[2];280 regulars,	330+ militia;United States
Siege of Detroit;15–16 August 1812;United Kingdom of Great Britain and Ireland	Tecumseh's Confederacy;Isaac Brock	Tecumseh;Detroit, Michigan Territory;British-Indian victory;William Hull;2 wounded;1,330	2 brigs[1];7 killed	2,493 captured	1 brig captured;2,500	1 brig[2];United States
Battle of Smolensk (1812);16–18 August 1812;First French Empire	Duchy of Warsaw;Napoleon	Michał Grabowski;Smolensk, Russian EmpireCoordinates: 54°47′N 32°03′E﻿ / ﻿54.783°N 32.050°E;French victory;Barclay de Tolly (Russian nobility)	Pyotr Bagration;10,000 killed, wounded and missing;45,000–50,000 men	84 guns;10,000–14,000 killed, wounded and missing;30,000–35,000 men	108 guns;Russian Empire
First Battle of Polotsk;17–18 August 1812;First French Empire	Kingdom of Bavaria;Laurent de Gouvion Saint-Cyr	Nicolas Oudinot;Polotsk, Russian Empire;French victory;Peter Wittgenstein;2,500–6,000[4][1][3];18,000–44,000 men[1][2][3]	150 guns[4][1];3,000–6,000[4][1][3]	1,800–4,000 killed and wounded[4][3]	1,200–1,500 captured[4][3]	14 guns[4][3];20,000–22,000 men[1][2][3]	98 guns[4][1];Russian Empire
Battle of Valutino;19 August 1812;First French Empire;Michel Ney	Jean-Andoche Junot;Near Smolensk, Russia;French victory;Michael Andreas Barclay de Tolly;7,000[1];30,000;6,000[1];40,000;Russian Empire
Siege of Fort Harrison;September 4–15, 1812;Miami people	Potawatomi	Kickapoo people	Ho-Chunk;Fort Harrison, Indiana	Stone Eater;Terre Haute, Indiana, Indiana Territory;United States victory;Zachary Taylor;Unknown – believed to be several killed or wounded;600;- 2 killed before battle (civilians)	- 3 killed, 3 wounded during battle[1]	- 18 killed, 2 wounded in supply trains;20 healthy, 30 sick;United States
Siege of Burgos;19 September to 21 October 1812;First French Empire;Jean-Louis Dubreton;Burgos, Spain;French victory;Arthur Wellesley, 1st Duke of Wellington;304 killed, 323 wounded	60 captured, 7 guns;2,000;550 killed	1,550 wounded, 3 guns;35,000	13 engineers	8 24-pound cannons[1];United Kingdom of Great Britain and Ireland	Kingdom of Portugal	Enlightenment in Spain
Battle of Tucumán;24 and 25 September 1812;United Provinces of the Rio de la Plata;Manuel Belgrano;Tucumán, Argentina26°50′14.68″S 65°13′1.06″W﻿ / ﻿26.8374111°S 65.2169611°WCoordinates: 26°50′14.68″S 65°13′1.06″W﻿ / ﻿26.8374111°S 65.2169611°W;United Provinces victory;Pío de Tristán;80 killed	200 wounded;1,800 men;450 killed	690 prisoners	13 cannons captured;3,000 men	13 cannons;Spanish Empire	Viceroyalty of Peru
Battle of Queenston Heights;13 October 1812;United Kingdom of Great Britain and Ireland	Upper Canada;Isaac Brock	Roger Hale Sheaffe	John Macdonell;Queenston, Lower Canada43°09′43″N 79°03′02″W﻿ / ﻿43.16192°N 79.05049°W;British victory[1];Stephen Van Rensselaer	Winfield Scott;128 killed, wounded or captured[3];1,300;1,105 killed, wounded or captured[4][5][6][7][8];3,550[2];United States
Battle of Tarutino;18 October 1812;Russian Empire;Levin August von Bennigsen;Tarutino, Russia;Russian victory;Joachim Murat;1,200;"36,000;	13,000 actually participated in the battle.";2,500 dead,	2,000 captured,	38 cannon lost;26,000;First French Empire
Second Battle of Polotsk;18–20 October 1812;Russian Empire;Peter Wittgenstein;Polotsk, Belarus;Russian victory;Laurent de Gouvion Saint-Cyr;8,000-12,500;"31,000 regular troops,	9,000 militia,	9,000 regular troops operating independently;	Total of: 49,000";8,000;23,000-27,000;First French Empire
Battle of Maloyaroslavets;24 October 1812;First French Empire	Kingdom of Italy (Napoleonic);Eugène de Beauharnais	Louis-Nicolas Davout	Domenico Pino;Maloyaroslavets, Russia;Franco-Italian tactical victory[1] French abandon march toward Kaluga despite victory[1];Dmitry Dokhturov	Mikhail Kutuzov;6,000[2];24,000[2];7,165	4,412 killed and wounded	2,753 missing[2];12,000 infantry	3,000 cavalry	84 guns	10,000 reinforcements later on;Russian Empire
Battle of Czasniki (1812);31 October 1812;Russian Empire;Peter Wittgenstein	Lev Mikhailovich Yashvil;Chashniki (Czasniki), Belarus;Russian victory;Claude Victor-Perrin, Duc de Belluno;400;30,000, of whom 11,000 were involved;1,200;36,000, of whom 10,000 to 18,000 were involved;First French Empire
Battle of Aslanduz;31 October–1 November 1812;Russian Empire;Pyotr Kotlyarevsky;Aslanduz, North Bank of the Aras River (South Caucasus);Russian victory;Abbas Mirza;28 killed, 99 wounded[1];2,000[1];2,000 killed and more than 500 captured[1]	11 artillery pieces lost[1];5,000[1]	13 artillery pieces[1];Qajar dynasty
Battle of Medina (1812);November 1812;Ottoman Empire;Tusun Pasha;Medina, western Arabia;Ottoman victory;Saud bin Abdul-Aziz bin Muhammad bin Saud;300 dead[citation needed];20,000	18 cannons	3 mortars [1];600 dead[citation needed];10,000[citation needed];Emirate of Diriyah
Battle of Smoliani;13 November – 14 November 1812;Russian Empire;Peter Wittgenstein;Smolyany, Governorate of Vitebsk, Belarus54°36′N 30°04′E﻿ / ﻿54.600°N 30.067°ECoordinates: 54°36′N 30°04′E﻿ / ﻿54.600°N 30.067°E;Russian victory;Claude Victor-Perrin, Duc de Belluno	Nicolas Oudinot;3,000;30,000 troops;3,000;"approximately 25,000 troops available; 6,000 involved on the 1st day; 5,000 involved on the 2nd day";First French Empire
Battle of Krasnoi;15–18 November 1812;First French Empire	Duchy of Warsaw;Napoleon	Louis-Nicolas Davout	Eugène de Beauharnais	Michel Ney;Krasny, Russian Empire;Russian tactical victory;Mikhail Kutuzov	Mikhail Miloradovich;6,000–13,000 killed and wounded,	20,000–26,000 captured ~ (almost all stragglers);42,000 regulars,	39,000 stragglers;2,000–5,000 killed and wounded;60,000–80,000;Russian Empire
Battle of Lacolle Mills (1812);November 20, 1812;Lower Canada	Mohawk people;Charles de Salaberry;Lacolle, Quebec;British-Mohawk victory;Henry Dearborn;None;530;5 killed	5 wounded[1];6,000;United States
Battle of Berezina;26–29 November 1812;First French Empire	Duchy of Warsaw;Napoleon	Nicolas Oudinot	Claude Victor-Perrin, Duc de Belluno	Michel Ney;The Berezina river near Borisov (now Barysaw);"Russian tactical victory French strategic victory;French cross the river but suffer massive casualties[1][2]";Pavel Chichagov	Wikimedia Error	Mikhail Kutuzov;13,000–25,000 combatants	10,000–20,000 stragglers	25 cannons.;49,000 combatants,	40,000 stragglers.[3];8,000–15,000 combatants.;"64,000 combatants,	Chichagov: 34,000;	Wittgenstein: 30,000.[3]";Russian Empire
Battle of the Mississinewa;December 17–18, 1812;Miami people;Francis Godfroy	Jean Baptiste Richardville;Jalapa, Indiana[1];United States victory;John B. Campbell;38 killed (claimed)	8 men and 34 others captured[2];300 infantry;12 killed	46 wounded[2];600 cavalry;United States
Battle of Jeddah (1813);Early days of 1813;Ottoman Empire;Muhammad Ali of Egypt	Tusun Pasha;Jeddah, western Arabia;Ottoman victory.;Saud bin Abdul-Aziz bin Muhammad bin Saud;60 dead.[citation needed];25,000[citation needed];Unknown.[citation needed];2,000[citation needed];Emirate of Diriyah
Battle of Frenchtown;January 18–23, 1813;United Kingdom of Great Britain and Ireland	Native Americans in the United States;Henry Procter (British Army officer)	Wikimedia Error	Wikimedia Error;Frenchtown, Michigan Territory, US, present-day Frenchtown Charter Township, Monroe County, Michigan41°54′49″N 83°22′42″W﻿ / ﻿41.91361°N 83.37833°WCoordinates: 41°54′49″N 83°22′42″W﻿ / ﻿41.91361°N 83.37833°W;British and Native American victory;James Winchester	Wikimedia Error	George Madison	Wikimedia Error;40 killed	162 wounded	3 captured;1,397;410 killed	94 wounded	547 captured (30-100 of whom were killed in ensuing massacre);1,000;United States
Battle of Salta;February 20, 1813;United Provinces of the Rio de la Plata;Manuel Belgrano;Salta, Salta Province, Argentina24°43′53.01″S 65°23′46.08″W﻿ / ﻿24.7313917°S 65.3961333°WCoordinates: 24°43′53.01″S 65°23′46.08″W﻿ / ﻿24.7313917°S 65.3961333°W;Decisive United Provinces victory;Pío de Tristán;103 dead	433 injured[1];3.000 soldiers	12 cannons[1];481 dead	114 injured	2,776 prisoners	10 cannons	2,118 muskets[1];3.400 soldiers	10 cannons[1];Spanish Empire	Viceroyalty of Peru
Battle of Ogdensburg;February 22, 1813;United Kingdom of Great Britain and Ireland;George MacDonnell;Ogdensburg, New York;British victory;Benjamin Forsyth;6 killed	44 wounded[1];520;20 killed	6 wounded	70 captured[2][3];about 250;United States
Battle of York;April 27, 1813;United Kingdom of Great Britain and Ireland	Wikimedia Error	Ojibwe;Roger Hale Sheaffe	Wikimedia Error	Sir John Robinson, 1st Baronet, of Toronto	Aeneas Shaw;York, Upper Canada(now Toronto, Ontario);United States tactical victory[1];Zebulon Pike	Isaac Chauncey	Henry Dearborn;82 killed	112 wounded (including 69 wounded prisoners)	274 captured	7 missing[3];300 regulars	300 militia	40–50 Natives;55 killed	265 wounded[1];1,700 regulars[2]	14 armed vessels;United States
Battle of Lützen (1813);2 May 1813;First French Empire	Duchy of Warsaw;Napoleon;Lützen, Germany;French victory;Wikimedia Error	Gerhard von Scharnhorst	Frederick William III of Prussia	Wikimedia Error	Alexander I of Russia	Alexander Tormasov;2,757 killed	16,898 wounded[1]	Total:	19,655 casualties;78,000[1]	(178,000 present);Clark:11,500	8,500 Prussians killed or wounded	3,000 Russians killed or wounded[2]	Tulard:20,000[3]	Chandler:30,000[4];93,000	56,000 Russians	37,000 Prussians[1];Kingdom of Prussia	Russian Empire
Siege of Fort Meigs;28 April – 9 May 1813;United Kingdom of Great Britain and Ireland	Native Americans in the United States	Upper Canada;Henry Procter (British Army officer)	Tecumseh	Wikimedia Error;present-day Perrysburg, Ohio;American victory[1][2][3] British abandon siege[4];William Henry Harrison	Green Clay	Wikimedia Error;British	14 killed	47 wounded	41 captured[5]	Indians	19 killed and wounded	Total	121[6];1,250 Native Americans	433 regulars	462 Canadian militia;160 killed	190 wounded	100 wounded prisoners	530 captured	6 missing	Total	986[7];1,200 regulars	1,600 militia;United States
Battle of Bautzen;20–21 May 1813;First French Empire;Napoleon	Michel Ney	Géraud Duroc;Bautzen, Kingdom of Saxony;French victory;Wikimedia Error	Peter Wittgenstein;20,000–22,000[3][4];115,000-200,000[1];11,000–20,000[3][4];96,000[2][1];Kingdom of Prussia	Russian Empire
Battle of Boston Harbor;1 June 1813;United Kingdom of Great Britain and Ireland;Philip Broke;off Boston, Massachusetts, Boston Harbor, Atlantic Ocean42°39′2″N 70°33′56″W﻿ / ﻿42.65056°N 70.56556°W;British victory;James Lawrence;1 frigate damaged	23 killed	56 wounded;1 frigate;1 frigate captured	48 killed	331 captured (99 wounded)[1];1 frigate;United States
